seed,subset,group,direction,stage,epoch,delta,ci_lo,ci_hi,median_cs,median_noswitch,mean_delta,n
s42,balanced,seen_embedded,eng-zho,stage2,5,0.3172169811320754,0.2688384433962263,0.3891509433962264,0.8891509433962264,0.5719339622641509,0.202374213836478,150
s42,balanced,seen_embedded,eng-zho,stage2,10,0.3431603773584906,0.2464622641509434,0.3974056603773583,0.8820754716981132,0.5389150943396226,0.191682389937107,150
s42,balanced,seen_embedded,eng-zho,stage3,1,0.3537735849056603,0.262942216981132,0.4422169811320755,0.8844339622641509,0.5306603773584906,0.2236320754716979,150
s42,balanced,seen_embedded,eng-zho,stage3,5,0.3077830188679245,0.2429245283018867,0.3679245283018868,0.8714622641509433,0.5636792452830188,0.203380503144654,150
s42,balanced,seen_embedded,eng-zho,stage3,10,0.2983490566037735,0.2110849056603773,0.3537735849056603,0.8525943396226414,0.5542452830188679,0.1965880503144653,150
s42,balanced,seen_embedded,nld-eng,stage1,0,0.0,0.0,0.0,0.6309278350515464,0.6309278350515464,0.0,109
s42,balanced,seen_embedded,nld-eng,stage1,1,0.0845360824742268,0.0081958762886597,0.1774226804123706,0.8948453608247423,0.8103092783505155,0.0600775560389672,109
s42,balanced,seen_embedded,nld-eng,stage1,5,0.0226804123711339,-0.0041237113402061,0.0618556701030927,0.977319587628866,0.954639175257732,0.0262177243923203,109
s42,balanced,seen_embedded,nld-eng,stage1,10,0.0185567010309277,-0.0061855670103092,0.0454123711340203,0.9731958762886598,0.954639175257732,0.026312304927646,109
s42,balanced,seen_embedded,nld-eng,stage2,1,0.0288659793814433,-0.0041237113402062,0.0659793814432989,0.9876288659793816,0.9587628865979382,0.0288092310602477,109
s42,balanced,seen_embedded,nld-eng,stage2,5,0.0082474226804123,-0.0061855670103093,0.0474226804123711,0.981443298969072,0.9731958762886598,0.0266717109618841,109
s42,balanced,seen_embedded,nld-eng,stage2,10,0.022680412371134,-0.002061855670103,0.0474226804123711,0.9876288659793816,0.9649484536082474,0.0296037075569846,109
s42,balanced,seen_embedded,nld-eng,stage3,1,0.0103092783505154,0.0,0.0453608247422679,0.9835051546391752,0.9731958762886598,0.031135912229263,109
s42,balanced,seen_embedded,nld-eng,stage3,5,0.0103092783505155,-0.002061855670103,0.0453608247422681,0.9896907216494846,0.979381443298969,0.0243639458999336,109
s42,balanced,seen_embedded,nld-eng,stage3,10,0.0082474226804124,-0.0061855670103092,0.0350515463917525,0.9876288659793816,0.979381443298969,0.0269365364607964,109
s42,balanced,seen_embedded,zho-eng,stage1,0,0.0,0.0,0.0,0.4577205882352941,0.4577205882352941,0.0,207
s42,balanced,seen_embedded,zho-eng,stage1,1,0.1084558823529411,0.0128676470588234,0.1948529411764705,0.65625,0.5477941176470589,0.0757139812446717,207
s42,balanced,seen_embedded,zho-eng,stage1,5,0.1893382352941175,0.1084558823529411,0.2775735294117647,0.7610294117647058,0.5716911764705883,0.1472275504404659,207
s42,balanced,seen_embedded,zho-eng,stage1,10,0.2444852941176472,0.1507352941176469,0.2922794117647058,0.7977941176470589,0.5533088235294117,0.1660628019323671,207
s42,balanced,seen_embedded,zho-eng,stage2,1,0.21875,0.1378676470588234,0.3070312499999996,0.8290441176470589,0.6102941176470589,0.1937695368002273,207
s42,balanced,seen_embedded,zho-eng,stage2,5,0.2738970588235294,0.1966911764705883,0.3382352941176469,0.8731617647058824,0.5992647058823529,0.2022591645353794,207
s42,balanced,seen_embedded,zho-eng,stage2,10,0.2591911764705883,0.1911764705882352,0.3308823529411765,0.875,0.6158088235294117,0.2070900824097754,207
s42,balanced,seen_embedded,zho-eng,stage3,1,0.2426470588235294,0.181985294117647,0.3106617647058823,0.8694852941176471,0.6268382352941176,0.2043549303779483,207
